path,N,k,bw1,bw2,duration,objective
../instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,2,5,5,1015.43,1435.26
../instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,2,5,10,1199.57,1454.25
