path,N,method,duration,objective,min,max,mean,std
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,RC,0.700954,2367.44,gini,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,BS,2.63927,1618.14,gini,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,LN,269.049,1931.9,gini,1,45,23,31.1127
../instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,GA,1152.71,1481.91,gini,1,45,23,31.1127
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,DC ,0.602049,2195.95,gini,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,RC,0.739977,2113.86,gini,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,BS,2.59403,1701.25,gini,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,LN,260.137,1793.54,gini,1,49,25,33.9411
../instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,GA,1367.23,1455.11,gini,1,49,25,33.9411
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,DC ,0.557085,2133.44,gini,1,44,22.5,30.4056
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,RC,0.67732,2309.22,gini,1,44,22.5,30.4056
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,BS,2.4129,1544.36,gini,1,44,22.5,30.4056
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,LN,226.351,1755.22,gini,1,44,22.5,30.4056
../instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,GA,1073.07,1316.25,gini,1,44,22.5,30.4056
